"jd","star_name","band","validation_flag","magnitude"
2418535.729,"AK AND","B","Z",12.8
2424475.599,"AK AND","B","Z",15.3
2424492.6,"AK AND","Vis.","Z",12.7
2442984.8,"AK AND","N/A","V",11.2
2445339.5,"AK AND","Vis.","V",14.6
2445556.8,"AK AND","Vis.","V",14.5
2445595.8,"AK AND","Vis.","V",11.8
2445613.8,"AK AND","Vis.","V",13.5
2445632.8,"AK AND","Vis.","V",12.7
2445643.7,"AK AND","Vis.","V",13.2
2445657.5,"AK AND","Vis.","V",14
2445878.8,"AK AND","Vis.","V",10.7
2445937.8,"AK AND","Vis.","V",12.2
2445945.9,"AK AND","Vis.","V",12.7
2445950.7,"AK AND","Vis.","V",12.2
2445973.7,"AK AND","Vis.","V",14.2
2445989.8,"AK AND","Vis.","V",14.2
2446215.9,"AK AND","Vis.","V",10.1
2446287.9,"AK AND","Vis.","V",13.7
2446325.8,"AK AND","Vis.","V",15
2446325.9,"AK AND","Vis.","V",14.1
2446346.7,"AK AND","Vis.","V",15.2
2446360.8,"AK AND","Vis.","V",14.1
2446640.8,"AK AND","Vis.","V",14.1
2446676.9,"AK AND","Vis.","V",14.1
2446711.6,"AK AND","Vis.","V",14.5
2446732.7,"AK AND","Vis.","V",13.5
2446787.6,"AK AND","Vis.","V",13.5
2446799.5,"AK AND","Vis.","V",14.2
2446974.9,"AK AND","Vis.","V",14.2
2447005.7,"AK AND","Vis.","V",13.7
2447036.7,"AK AND","Vis.","V",13.5
2447061.8,"AK AND","Vis.","V",14.1
2447343.9,"AK AND","Vis.","V",13.5
2447366.8,"AK AND","Vis.","V",14.1
2447378.9,"AK AND","Vis.","V",13.5
2447414.8,"AK AND","Vis.","V",14.1
2447441.8,"AK AND","Vis.","V",14.1
2447475.8,"AK AND","Vis.","V",12.9
2447479.6,"AK AND","Vis.","V",12.4
2447499.5,"AK AND","Vis.","V",10.9
2447713.9,"AK AND","Vis.","V",14.1
2447837.6,"AK AND","Vis.","V",10.9
2447862.7,"AK AND","Vis.","V",11
2447906.6,"AK AND","Vis.","V",12.6
2448069.9,"AK AND","Vis.","V",13.9
2448131.9,"AK AND","Vis.","V",14
2448149.8,"AK AND","Vis.","V",11.5
2448179.8,"AK AND","Vis.","V",11.3
2448195.8,"AK AND","Vis.","V",11.8
2448208.8,"AK AND","Vis.","V",11.8
2448479.9,"AK AND","Vis.","V",11
2448502.8,"AK AND","Vis.","V",11
2448536.7,"AK AND","Vis.","V",12.2
2448584.7,"AK AND","Vis.","V",14.4
2448605,"AK AND","Vis.","V",14
2448612.9,"AK AND","Vis.","V",13.2
2448625,"AK AND","Vis.","V",14.1
2448644.6,"AK AND","Vis.","V",13
2448835.8,"AK AND","Vis.","V",11.7
2448840.9,"AK AND","Vis.","V",11.6
2448862.7,"AK AND","Vis.","V",14.5
2448863.9,"AK AND","Vis.","V",12.7
2448887.7,"AK AND","Vis.","V",13.3
2448888.8,"AK AND","Vis.","V",13
2448892.7,"AK AND","Vis.","V",14.8
2448956.5,"AK AND","Vis.","V",14.5
2448999.6,"AK AND","Vis.","V",14.1
2449196.9,"AK AND","Vis.","V",13.2
2449216.9,"AK AND","Vis.","V",13
2449259.6,"AK AND","Vis.","V",13.2
2449588.8785,"AK AND","Vis.","V",13
2449600.8799,"AK AND","Vis.","V",13
2449679.5717,"AK AND","Vis.","V",14.1
2449923.8979,"AK AND","Vis.","V",14.5
2449936.9458,"AK AND","Vis.","V",13
2449964.9542,"AK AND","Vis.","V",13.7
2450020.251,"AK AND","Vis.","V",14
2450118.267,"AK AND","Vis.","V",11.5
2450248.478,"AK AND","Vis.","V",14.1
2450260.816,"AK AND","Vis.","V",13.3
2450282.473,"AK AND","Vis.","V",14.1
2450306.8708,"AK AND","Vis.","V",13
2450314.488,"AK AND","Vis.","V",14.5
2450333.336,"AK AND","Vis.","V",14.5
2450342.349,"AK AND","Vis.","V",15
2450359.355,"AK AND","Vis.","V",13.3
2450364.7444,"AK AND","Vis.","V",12.9
2450394.31,"AK AND","Vis.","V",11.6
2450401.7139,"AK AND","Vis.","V",13
2450458.278,"AK AND","Vis.","V",13.2
2450600.542,"AK AND","Vis.","V",14.5
2450615.55,"AK AND","Vis.","V",14.1
2450630.54,"AK AND","Vis.","V",14.1
2450645.8882,"AK AND","Vis.","V",14.1
2450659.526,"AK AND","Vis.","V",13.2
2450672.435,"AK AND","Vis.","V",12
2450674.9604,"AK AND","Vis.","V",12.9
2450702.347,"AK AND","Vis.","V",11
2450718.347,"AK AND","Vis.","V",11.1
2450719.5,"AK AND","Vis.","V",10.9
2450744.326,"AK AND","Vis.","V",11.5
2450818.6722,"AK AND","Vis.","V",13
2450926.69,"AK AND","Vis.","V",13
2450934.69,"AK AND","Vis.","V",13
2450950.66,"AK AND","Vis.","V",13
2450964.63,"AK AND","Vis.","V",14.1
2450990.483,"AK AND","Vis.","V",12.1
2451018.46,"AK AND","Vis.","V",10.9
2451036.43,"AK AND","Vis.","V",11
2451050.503,"AK AND","Vis.","V",14.5
2451072.9076,"AK AND","Vis.","V",11.7
2451079.365,"AK AND","Vis.","V",11.6
2451102.41,"AK AND","Vis.","V",12.6
2451132.7014,"AK AND","Vis.","V",13
2451137.358,"AK AND","Vis.","V",14.5
2451370.529,"AK AND","Vis.","V",11.3
2451380.8938,"AK AND","Vis.","V",11.8
2451384.476,"AK AND","Vis.","V",11.6
2451391.394,"AK AND","Vis.","V",11.5
2451398.9229,"AK AND","Vis.","V",13
2451424.424,"AK AND","Vis.","V",13.1
2451427.866,"AK AND","Vis.","V",12.2
2451437.565,"AK AND","Vis.","V",14.2
2451465.352,"AK AND","Vis.","V",14.1
2451492.244,"AK AND","Vis.","V",14.1
2451523.335,"AK AND","Vis.","V",14.3
2451549.336,"AK AND","Vis.","V",14.5
2451729.5083,"AK AND","Vis.","V",12.4
2451737.5632,"AK AND","Vis.","V",12.5
2451748.5382,"AK AND","Vis.","V",12.8
2451756.445,"AK AND","Vis.","V",12.7
2451779.461,"AK AND","Vis.","V",14.5
2451787.427,"AK AND","Vis.","V",14.3
2451793,"AK AND","V","V",14.8
2451838.6313,"AK AND","Vis.","V",14.1
2451861.6,"AK AND","V","V",15.2
2451871.7,"AK AND","V","V",15.2
2451872.7931,"AK AND","V","V",16.2
2451879.228,"AK AND","Vis.","V",14.1
2451882.7,"AK AND","V","V",15.2
2451893.7,"AK AND","V","V",15.2
2451900.333,"AK AND","Vis.","V",14.5
2451907.6,"AK AND","V","V",15.2
2451922.6,"AK AND","V","V",15
2452084.5201,"AK AND","Vis.","V",13.4
2452120.9118,"AK AND","Vis.","V",13.7
2452143,"AK AND","V","V",15.4
2452146.4278,"AK AND","Vis.","V",14.1
2452223.2667,"AK AND","Vis.","V",14.5
2452228.7,"AK AND","V","V",13.9
2452238.7,"AK AND","V","V",12.8
2452249.7,"AK AND","V","V",12.2
2452260.7,"AK AND","V","V",11.6
2452281.6,"AK AND","V","V",10.2
2452295.6,"AK AND","V","V",10.2
2452303.2354,"AK AND","Vis.","V",10.9
2452504.6236,"AK AND","Vis.","V",15.8
2452540.9,"AK AND","V","V",15.6
2452550.9,"AK AND","V","V",14.6
2452555.3667,"AK AND","Vis.","V",13.8
2452868.7729,"AK AND","Vis.","Z",14.7
2452875.5323,"AK AND","V","Z",13.43
2452875.5323,"AK AND","V","Z",13.75
2452900.3993,"AK AND","Vis.","Z",12.1
2452910.436,"AK AND","V","Z",11.32
2452911.436,"AK AND","V","Z",11.21
2452912.3563,"AK AND","Vis.","Z",11.6
2452914.725,"AK AND","Vis.","Z",11.3
2452931.2924,"AK AND","Vis.","Z",10.3
2452941.3014,"AK AND","Vis.","Z",10.4
2452955.2625,"AK AND","Vis.","Z",11
2452975.6056,"AK AND","Vis.","Z",11.1
2453029.5069,"AK AND","Vis.","Z",14
2453232.5,"AK AND","Vis.","Z",13
2453257.3583,"AK AND","Vis.","Z",11.9
2453258.4,"AK AND","Vis.","Z",11.2
2453359.4,"AK AND","Vis.","Z",13
2453572.5,"AK AND","Vis.","Z",10.7
2453592.5,"AK AND","Vis.","Z",10.8
2453628.4,"AK AND","Vis.","Z",11.5
2453647.3,"AK AND","Vis.","Z",12.3
2453653.62596,"AK AND","V","Z",12.443
2453653.63347,"AK AND","V","Z",12.447
2453653.64078,"AK AND","V","Z",12.438
2453653.64824,"AK AND","V","Z",12.442
2453653.65571,"AK AND","V","Z",12.441
2453653.66326,"AK AND","V","Z",12.447
2453653.67073,"AK AND","V","Z",12.439
2453653.67821,"AK AND","V","Z",12.447
2453653.68568,"AK AND","V","Z",12.442
2453653.69314,"AK AND","V","Z",12.441
2453653.70063,"AK AND","V","Z",12.442
2453653.7081,"AK AND","V","Z",12.451
2453653.71541,"AK AND","V","Z",12.439
2453653.72289,"AK AND","V","Z",12.446
2453653.73039,"AK AND","V","Z",12.453
2453653.73784,"AK AND","V","Z",12.449
2453653.74536,"AK AND","V","Z",12.462
2453653.75282,"AK AND","V","Z",12.438
2453653.76027,"AK AND","V","Z",12.449
2453653.76774,"AK AND","V","Z",12.456
2453653.77525,"AK AND","V","Z",12.455
2453653.78272,"AK AND","V","Z",12.458
2453653.79002,"AK AND","V","Z",12.453
2453653.7975,"AK AND","V","Z",12.459
2453653.80497,"AK AND","V","Z",12.457
2453653.81248,"AK AND","V","Z",12.458
2453653.81992,"AK AND","V","Z",12.455
2453653.8274,"AK AND","V","Z",12.456
2453653.83485,"AK AND","V","Z",12.459
2453653.84232,"AK AND","V","Z",12.453
2453653.84978,"AK AND","V","Z",12.463
2453653.85824,"AK AND","V","Z",12.45
2453653.86571,"AK AND","V","Z",12.457
